,importance
tenure,0.15121008470537925
PaymentMethod_Electronic check,0.14154846832617912
TotalCharges,0.1384502814383224
MonthlyCharges,0.10548291998635098
InternetService_Fiber optic,0.07248795153157042
Contract_Two year,0.050797514062895614
PaperlessBilling_Yes,0.04979202170121144
Contract_One year,0.022809356501076045
MultipleLines_Yes,0.02095407016264331
gender_Male,0.019671705191416866
StreamingTV_Yes,0.017390855862382877
StreamingMovies_Yes,0.01733324822211543
PaymentMethod_Credit card (automatic),0.017209639589507858
MultipleLines_No phone service,0.016184363234964385
PaymentMethod_Mailed check,0.015272884750001131
